IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,27.7346,100.253675,0.597775,8.961125,36.899575,232.149675,30.07535,31.340175,3.6038,20.77575,10.447775
Gal(a1-4)GlcNAc(b1-Sp8,8.6196,115.473875,15.322225,5.43905,4.01345,161.102925,3.62565,7.069525,-8.026425,-8.981875,-1.634525
Gal(a1-6)Glc(b1-Sp8,11.80535,336.9649,13.95665,6.85565,22.347175,126.612025,14.823975,26.157075,-17.100475,31.55905,13.92075
Gal(b1-2)Gal(b1-Sp8,33.162775,399.756325,24.1861,8.918225,39.781525,120.93955,26.1533,16.42665,-18.153575,-8.925875,5.315125
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.8658,146.26665,203.978725,9.656225,12.734525,76.89375,5.108925,10.312575,-19.6045,-10.1126,-3.8792
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.489475,73.906,45.7926,3.99035,11.9502,-15.105,4.976125,10.30535,-11.7577,-1.40225,6.908825
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,34.9013,204.3976,247.412075,21.208925,14.819825,89.0679,4.89845,15.957275,-9.076975,-2.2982,8.723675
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,-2.712975,63.2759,678.196,14.5019,-3.5917,14.044025,12.485775,0.4118,-16.7262,-9.30125,-0.50565
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,14.589325,144.290225,1011.874725,14.29065,16.4631,4.524875,-1.8728,8.990325,-15.806575,-10.7593,1.0288
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,26.97905,32.149425,24.412375,15.132025,18.2657,-79.07625,169.367375,26.05855,-14.3163,0.05565,146.07445
Gal(b1-4)GlcNAc(b1-6)GalNAc(b1-Sp14,32.466725,69.7845,49.394725,9.399,42.740675,54.13475,11.72255,12.760675,-11.727675,10.685925,22.93695
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8 ,4.98215,23.16385,30.9044,7.9144,22.866425,-10.24505,20.37755,30.9531,-4.27485,-0.208025,6.55015
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,5.802675,72.864025,6.96945,8.80975,-7.89485,51.82925,8.13075,3.7862,-17.2434,14.42115,-10.449725
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.43475,81.70875,27.7356,3.86125,17.405575,15.68705,0.9034,9.129775,-30.3913,1.684875,-16.516675
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,28.1074,149.794825,21.266,5.94695,21.1252,19460.63543,15.78135,8.98715,-20.635625,4.469375,10.41085
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.92035,74.868225,73.974375,3.771575,20.155175,-7.417,0.7775,-8.40235,-25.95455,-0.8193,-11.424625
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,7.351375,82.064,10.015425,9.925825,-5.126975,-5.495575,30.388425,4.265375,-27.918575,-5.6182,-8.870075
Gal(b1-3)GalNAc(a1-Sp8,18.033725,267.3032,12.401975,3.285175,9.4796,38.344075,7.57075,34.5225,-10.3423,2.76475,-6.341175
Gal(b1-3)GalNAc(a1-Sp14,9.160825,169.019525,13.360275,13.77415,56.9546,2585.628025,6.26925,7.37425,-18.338475,177.253675,9.7737
Gal(b1-3)GalNAc(a1-Sp16,17.40875,81.48995,19.101075,4.08145,29.43805,-10.86035,5.439525,34.698175,-32.224,-0.473525,-6.215175
Gal(b1-3)GalNAc(b1-Sp8,32.368225,1117.199225,39.472925,79.996025,17.3992,73.686125,45.629725,33.059425,-6.238375,-6.349,-6.185175
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,29.151225,69.87575,32.73645,11.633925,22.05045,204.198225,49.178925,12.7972,4.9944,5.2382,16.477525
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,16.6121,32082.83055,0.933625,34.29695,7.651325,37.8034,2.000225,5.033275,-17.46065,-0.061,-4.07795
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,10.7154,1411.331275,79.2875,18.554975,23.55085,71.1908,18.81775,26.5742,8.9886,5.45435,-0.998925
Gal(b1-3)Gal(b1-Sp8,21.6445,649.31635,15.6314,57.82395,14.04805,213.052325,5.59935,-7.237375,-12.046,-8.055475,-0.501575
