IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,0.02634549,0.002781674,0,0.007855616,0.001174028,0.008871296,0.002089157,0.006836906,0.00242634,0.002396319,0.001414946
Gal(a1-4)GlcNAc(b1-Sp8,0.012950874,0.00325624,0.002790722,0.005760022,0.000477917,0.007184516,0.001114183,0.005540362,0.002120728,0.001815521,0.001164946
Gal(a1-6)Glc(b1-Sp8,0.015183251,0.010162341,0.002531905,0.006602883,0.000865993,0.006365638,0.00152697,0.006560023,0.001882287,0.002606784,0.001486806
Gal(b1-2)Gal(b1-Sp8,0.030149221,0.012120181,0.00447069,0.007830091,0.001235031,0.006230963,0.001944585,0.006040222,0.001854614,0.001816614,0.001308744
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.014524872,0.00421636,0.038546747,0.008269192,0.000662519,0.005185235,0.001168859,0.005713606,0.001816487,0.001793452,0.001118501
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.014261167,0.001960152,0.008565765,0.004898063,0.000645917,0.003001016,0.001163964,0.00571322,0.00202268,0.001963457,0.00134172
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,0.031367472,0.006028886,0.04677866,0.015142913,0.000706659,0.005474272,0.0011611,0.006015148,0.002093123,0.00194597,0.001379272
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,0.005009702,0.001628705,0.128425043,0.011152312,0.000316937,0.003693067,0.00144078,0.005184705,0.001892121,0.001809287,0.001188304
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,0.01713409,0.004154735,0.191667099,0.01102662,0.000741443,0.003467065,0.000911502,0.005642971,0.001916287,0.00178083,0.001220054
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,0.025816047,0.00065818,0.004513576,0.011527229,0.000779599,0.001482221,0.007223663,0.00655476,0.001955447,0.001991912,0.004221245
Gal(b1-4)GlcNAc(b1-6)GalNAc(b1-Sp14,0.029661472,0.001831643,0.009248475,0.008116146,0.001297669,0.004644895,0.001412647,0.005844384,0.002023469,0.00219939,0.001673363
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8 ,0.010401972,0.000378009,0.005744008,0.007232826,0.000876984,0.0031164,0.001731682,0.006816228,0.00221931,0.001986766,0.001334298
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,0.010976946,0.001927663,0.001207622,0.007765549,0.00022585,0.004590158,0.001280248,0.005364966,0.001878531,0.002272293,0.000982548
